lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
everything 303 431 177.71 126.39 244.67 20.17 33.75 POSKW
place 192 279 112.61 81.82 157.0 11.33 31.67 POSKW
kind 295 463 173.02 135.78 252.67 10.38 24.12 POSKW
sense 88 112 51.61 32.84 66.67 9.81 44.44 POSKW
moment 90 116 52.79 34.02 68.67 9.53 43.24 POSKW
bit 532 898 312.02 263.34 476.67 9.46 16.92 POSKW
anyone 76 94 44.57 27.57 56.67 9.46 47.15 POSKW
everyone 161 246 94.43 72.14 135.67 6.9 26.76 POSKW
anything 232 373 136.07 109.38 201.67 6.69 21.74 POSKW
way 354 597 207.62 175.07 317.0 6.36 17.01 POSKW
idea 163 256 95.6 75.07 139.67 5.7 24.05 POSKW
someone 172 273 100.88 80.06 148.33 5.53 23.01 POSKW
top 72 100 42.23 29.33 57.33 5.43 36.07 POSKW
one 76 111 44.57 32.55 62.33 4.35 31.18 POSKW
guy 55 161 32.26 47.21 72.0 6.31 -37.64 NEGKW
course 104 163 61.0 47.8 89.0 3.7 24.26 NOTKW
stuff 171 406 100.29 119.06 192.33 3.62 -17.11 NOTKW
work 191 321 112.02 94.13 170.67 3.57 17.35 NOTKW
nothing 137 223 80.35 65.4 120.0 3.54 20.52 NOTKW
lot 184 432 107.92 126.69 205.33 3.39 -16.0 NOTKW
part 87 136 51.03 39.88 74.33 3.16 24.52 NOTKW
bloke 61 92 35.78 26.98 51.0 2.86 28.04 NOTKW
load 158 269 92.67 78.89 142.33 2.54 16.07 NOTKW
round 89 214 52.2 62.76 101.0 2.18 -18.37 NOTKW
sort 228 511 133.72 149.85 246.33 2.07 -11.38 NOTKW
phone 84 138 49.27 40.47 74.0 1.99 19.61 NOTKW
time 449 835 263.34 244.87 428.0 1.53 7.27 NOTKW
minute 56 135 32.84 39.59 63.67 1.42 -18.62 NOTKW
week 122 275 71.55 80.65 132.33 1.23 -11.95 NOTKW
couple 60 142 35.19 41.64 67.33 1.22 -16.79 NOTKW
something 299 642 175.37 188.27 313.67 1.04 -7.1 NOTKW
year 223 483 130.79 141.64 235.33 0.98 -7.97 NOTKW
month 65 150 38.12 43.99 71.67 0.95 -14.29 NOTKW
woman 94 166 55.13 48.68 86.67 0.92 12.43 NOTKW
side 93 165 54.55 48.39 86.0 0.84 11.97 NOTKW
kid 82 145 48.09 42.52 75.67 0.78 12.3 NOTKW
hour 81 182 47.51 53.37 87.67 0.77 -11.63 NOTKW
family 64 112 37.54 32.84 58.67 0.72 13.33 NOTKW
thing 631 1212 370.09 355.43 614.33 0.68 4.04 NOTKW
head 90 164 52.79 48.09 84.67 0.5 9.3 NOTKW
morning 65 144 38.12 42.23 69.67 0.47 -10.22 NOTKW
student 60 108 35.19 31.67 56.0 0.42 10.53 NOTKW
child 72 131 42.23 38.42 67.67 0.41 9.45 NOTKW
problem 75 164 43.99 48.09 79.67 0.41 -8.92 NOTKW
friend 103 191 60.41 56.01 98.0 0.38 7.56 NOTKW
end 169 319 99.12 93.55 162.67 0.37 5.78 NOTKW
man 63 138 36.95 40.47 67.0 0.36 -9.09 NOTKW
mum 102 190 59.82 55.72 97.33 0.33 7.11 NOTKW
story 56 102 32.84 29.91 52.67 0.31 9.35 NOTKW
person 88 164 51.61 48.09 84.0 0.28 7.06 NOTKW
room 61 113 35.78 33.14 58.0 0.23 7.66 NOTKW
life 105 222 61.58 65.1 109.0 0.22 -5.56 NOTKW
car 88 167 51.61 48.97 85.0 0.16 5.25 NOTKW
school 103 198 60.41 58.06 100.33 0.11 3.96 NOTKW
age 63 121 36.95 35.48 61.33 0.07 4.05 NOTKW
night 113 221 66.28 64.81 111.33 0.04 2.24 NOTKW
job 118 231 69.21 67.74 116.33 0.04 2.14 NOTKW
point 126 257 73.9 75.37 127.67 0.03 -1.96 NOTKW
day 262 519 153.67 152.2 260.33 0.02 0.96 NOTKW
girl 74 150 43.4 43.99 74.67 0.01 -1.34 NOTKW
home 108 214 63.34 62.76 107.33 0.01 0.93 NOTKW
people 428 861 251.03 252.49 429.67 0.01 -0.58 NOTKW
money 112 227 65.69 66.57 113.0 0.01 -1.33 NOTKW
dad 62 125 36.36 36.66 62.33 0.0 -0.8 NOTKW
house 97 195 56.89 57.18 97.33 0.0 -0.51 NOTKW
