Cos	NPS	Cos
my	PP$	my
one	CD	one
of	IN	of
my	PP$	my
good	JJ	good
friends	NNS	friend
from	IN	from
work	NN	work
she	PP	she
lives	VBZ	live
she	PP	she
's	VBZ	be
the	DT	the
one	CD	one
that	WDT	that
lives	VBZ	live
opposite	IN	opposite
you	PP	you
monday	NN	Monday
morning	NN	morning
she	PP	she
's	VBZ	be
like	IN	like
I	PP	I
think	VBP	think
I	PP	I
saw	VBD	see
with	IN	with
his	PP$	his
kids	NNS	kid
in	IN	in
Aldi	NP	<unknown>
cos	NN	cos
obviously	RB	obviously
I	PP	I
talk	VBP	talk
about	IN	about
you	PP	you
I	PP	I
'd	MD	will
obviously	RB	obviously
said	VBD	say
oh	UH	oh
'	''	'
s	NNS	<unknown>
go	VBP	go
the	DT	the
kids	NNS	kid
this	DT	this
weekend	NN	weekend
Like	IN	like
some	DT	some
passing	VBG	pass
comment	NN	comment
I	PP	I
had	VBD	have
n't	RB	n't
thought	VBN	think
about	IN	about
she	PP	she
said	VBD	say
what	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
Are	VBP	be
you	PP	you
seeing	VBG	see
?	SENT	?
I	PP	I
said	VBD	say
no	RB	no
and	CC	and
then	RB	then
she	PP	she
's	VBZ	be
like	IN	like
I	PP	I
swear	VBP	swear
from	IN	from
the	DT	the
description	NN	description
I	PP	I
saw	VBD	see
him	PP	him
in	IN	in
Aldi	NP	<unknown>
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
I	PP	I
ca	MD	ca
n't	RB	n't
have	VB	have
described	VBN	describe
him	PP	him
that	IN	that
well	RB	well
like	VB	like
how	WRB	how
would	MD	would
you	PP	you
know	VB	know
she	PP	she
was	VBD	be
like	IN	like
I	PP	I
I	PP	I
'm	VBP	be
absolutely	RB	absolutely
positive	JJ	positive
and	CC	and
I	PP	I
stalked	VBD	stalk
him	PP	him
around	IN	around
Aldi	NP	<unknown>
go	VB	go
and	CC	and
ask	VB	ask
him	PP	him
if	IN	if
here	RB	here
was	VBD	be
some	DT	some
girl	NN	girl
who	WP	who
keep	VBP	keep
staring	VBG	stare
at	IN	at
him	PP	him
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
I	PP	I
'm	VBP	be
not	RB	not
going	VBG	go
to	TO	to
say	VB	say
that	IN	that
to	TO	to
him	PP	him
because	IN	because
he	PP	he
's	VBZ	be
going	VBG	go
to	TO	to
think	VB	think
I	PP	I
'm	VBP	be
mental	JJ	mental
he	PP	he
's	VBZ	be
going	VBG	go
to	TO	to
think	VB	think
I	PP	I
talk	VB	talk
about	IN	about
him	PP	him
all	PDT	all
the	DT	the
time	NN	time
but	CC	but
now	RB	now
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
ask	VB	ask
him	PP	him
it	PP	it
's	VBZ	be
like	IN	like
okay	JJ	okay
fine	NN	fine
and	CC	and
obviously	RB	obviously
I	PP	I
did	VBD	do
n't	RB	n't
ask	VB	ask
on	IN	on
Monday	NP	Monday
because	IN	because
I	PP	I
thought	VBD	think
that	IN	that
you	PP	you
'd	MD	will
think	VB	think
I	PP	I
was	VBD	be
mental	JJ	mental
but	CC	but
today	NN	today
she	PP	she
was	VBD	be
speaking	VBG	speak
to	TO	to
me	PP	me
again	RB	again
she	PP	she
was	VBD	be
like	IN	like
did	VBD	do
you	PP	you
ask	VB	ask
him	PP	him
?	SENT	?
I	PP	I
said	VBD	say
no	RB	no
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
ask	VB	ask
him	PP	him
