which	WDT	which
was	VBD	be
n't	RB	n't
as	RB	as
much	JJ	much
as	IN	as
I	PP	I
thought	VBD	think
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
I	PP	I
thought	VBD	think
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
six	CD	six
hours	NNS	hour
each	DT	each
way	NN	way
but	CC	but
it	PP	it
was	VBD	be
really	RB	really
good	JJ	good
actually	RB	actually
erm	JJ	<unknown>
so	RB	so
yeah	RB	yeah
I	PP	I
was	VBD	be
I	PP	I
was	VBD	be
in	IN	in
Yorkshire	NP	Yorkshire
yesterday	NN	yesterday
the	DT	the
interview	NN	interview
went	VBD	go
quite	RB	quite
well	RB	well
I	PP	I
think	VBP	think
actually	RB	actually
but	CC	but
I	PP	I
'm	VBP	be
not	RB	not
sure	JJ	sure
if	IN	if
I	PP	I
want	VBP	want
to	TO	to
relocate	VB	relocate
to	TO	to
Yorkshire	NP	Yorkshire
for	IN	for
four	CD	four
months	NNS	month
and	CC	and
then	RB	then
come	VB	come
back	RB	back
and	CC	and
be	VB	be
at	IN	at
square	RB	square
one	PP	one
be	VB	be
back	RB	back
at	IN	at
square	JJ	square
one	CD	one
with	IN	with
no	DT	no
job	NN	job
it	PP	it
would	MD	would
be	VB	be
the	DT	the
pay	NN	pay
is	VBZ	be
only	RB	only
national	JJ	national
minimum	JJ	minimum
wage	NN	wage
and	CC	and
I	PP	I
'd	MD	will
have	VB	have
to	TO	to
you	PP	you
know	VBP	know
have	VB	have
to	TO	to
pay	VB	pay
for	IN	for
somewhere	RB	somewhere
to	TO	to
stay	VB	stay
while	IN	while
I	PP	I
'm	VBP	be
up	RB	up
there	RB	there
