er	NNS	<unknown>
first	RB	first
she	PP	she
was	VBD	be
grumpy	JJ	grumpy
because	IN	because
it	PP	it
felt	VBD	feel
like	IN	like
the	DT	the
whole	JJ	whole
weekend	NN	weekend
she	PP	she
was	VBD	be
having	VBG	have
this	DT	this
com	NN	com
like	IN	like
a	DT	a
competition	NN	competition
with	IN	with
me	PP	me
like	VBP	like
she	PP	she
wanted	VBD	want
to	TO	to
prove	VB	prove
that	IN	that
she	PP	she
knew	VBD	know
Paris	NP	Paris
better	JJR	good
than	IN	than
I	PP	I
knew	VBD	know
Paris	NP	Paris
and	CC	and
I	PP	I
'd	MD	will
be	VB	be
like	IN	like
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
Louvre	NP	Louvre
yeah	RB	yeah
well	RB	well
this	DT	this
is	VBZ	be
actually	RB	actually
the	DT	the
main	JJ	main
this	NN	this
is	VBZ	be
n't	RB	n't
the	DT	the
main	JJ	main
part	NN	part
of	IN	of
the	DT	the
Louvre	NP	Louvre
the	DT	the
main	JJ	main
part	NN	part
of	IN	of
the	DT	the
Louvre	NP	Louvre
is	VBZ	be
over	RB	over
there	RB	there
but	CC	but
actually	RB	actually
we	PP	we
're	VBP	be
seeing	VBG	see
like	IN	like
this	DT	this
part	NN	part
of	IN	of
the	DT	the
Louvre	NP	Louvre
and	CC	and
it	PP	it
was	VBD	be
like	IN	like
yeah	RB	yeah
okay	JJ	okay
that	WDT	that
's	VBZ	be
fine	JJ	fine
like	IN	like
you	PP	you
it	PP	it
was	VBD	be
like	JJ	like
that	IN	that
all	DT	all
weekend	NN	weekend
and	CC	and
then	RB	then
we	PP	we
went	VBD	go
to	TO	to
Galeries	NP	Galeries
Lafayette	NP	Lafayette
and	CC	and
we	PP	we
were	VBD	be
just	RB	just
spraying	VBG	spray
the	DT	the
perfume	NN	perfume
and	CC	and
she	PP	she
turned	VBD	turn
round	NN	round
and	CC	and
said	VBD	say
you	PP	you
're	VBP	be
not	RB	not
allowed	VBN	allow
to	TO	to
spray	VB	spray
the	DT	the
perfume	NN	perfume
in	IN	in
here	RB	here
I	PP	I
used	VBD	use
to	TO	to
work	VB	work
here	RB	here
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
yeah	RB	yeah
but	CC	but
you	PP	you
worked	VBD	work
here	RB	here
eight	CD	eight
years	NNS	year
ago	RB	ago
you	PP	you
know	VBP	know
I	PP	I
've	VBP	have
never	RB	never
been	VBN	be
told	VBN	tell
off	RP	off
for	IN	for
spraying	VBG	spray
perfume	NN	perfume
like	IN	like
we	PP	we
're	VBP	be
just	RB	just
having	VBG	have
fun	NN	fun
and	CC	and
she	PP	she
went	VBD	go
and	CC	and
then	RB	then
she	PP	she
got	VBD	get
suddenly	RB	suddenly
like	VB	like
really	RB	really
like	IN	like
even	RB	even
more	RBR	more
stroppy	JJ	stroppy
and	CC	and
then	RB	then
we	PP	we
went	VBD	go
to	TO	to
this	DT	this
café	NN	café
and	CC	and
I	PP	I
said	VBD	say
to	TO	to
her	PP	her
I	PP	I
was	VBD	be
like	IN	like
what	WP	what
's	VBZ	be
wrong	JJ	wrong
?	SENT	?
why	WRB	why
are	VBP	be
you	PP	you
in	IN	in
a	DT	a
strop	NN	strop
?	SENT	?
she	PP	she
goes	VBZ	go
well	RB	well
I	PP	I
'm	VBP	be
really	RB	really
pissed	VBN	piss
off	RP	off
that	IN	that
you	PP	you
snapped	VBD	snap
at	IN	at
me	PP	me
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
god	NN	god
