ca	MD	ca
n't	RB	n't
wait	VB	wait
yeah	RB	yeah
do	VBP	do
you	PP	you
know	VBP	know
I	PP	I
bought	VBD	buy
erm	JJ	<unknown>
my	PP$	my
brother-in-law	NN	brother-in-law
who	WP	who
is	VBZ	be
coming	VBG	come
with	IN	with
us	PP	us
a	DT	a
voucher	NN	voucher
for	IN	for
the	DT	the
for	IN	for
his	PP$	his
birthday	NN	birthday
September	NP	September
and	CC	and
another	DT	another
one	CD	one
for	IN	for
Christmas	NP	Christmas
so	RB	so
and	CC	and
I	PP	I
you	PP	you
know	VBP	know
with	IN	with
a	DT	a
note	NN	note
in	IN	in
his	PP$	his
birthday	NN	birthday
one	CD	one
in	IN	in
September	NP	September
we	PP	we
'll	MD	will
go	VB	go
together	RB	together
to	TO	to
the	DT	the
in	IN	in
January	NP	January
and	CC	and
we	PP	we
'll	MD	will
get	VB	get
a	DT	a
a	DT	a
refresher	NN	refresher
lesson	NN	lesson
you	PP	you
know	VBP	know
cos	NN	cos
I	PP	I
was	VBD	be
just	RB	just
a	DT	a
disaster	NN	disaster
on	IN	on
the	DT	the
slopes	NNS	slope
and	CC	and
I	PP	I
'd	MD	will
like	VB	like
to	TO	to
go	VB	go
to	TO	to
the	DT	the
and	NP	and
and	CC	and
have	VB	have
a	DT	a
lesson	VB	lesson
oh	UH	oh
yes	UH	yes
yes	UH	yes
he	PP	he
said	VBD	say
yeah	RB	yeah
great	JJ	great
and	CC	and
then	RB	then
I	PP	I
said	VBD	say
to	TO	to
the	DT	the
boys	NNS	boy
do	VBP	do
you	PP	you
wanna	VBP	wanna
go	VB	go
?	SENT	?
and	CC	and
they	PP	they
said	VBD	say
yes	RB	yes
and	CC	and
we	PP	we
'll	MD	will
do	VB	do
something	NN	something
I	PP	I
said	VBD	say
but	CC	but
theirs	PP	theirs
'll	MD	will
just	RB	just
be	VB	be
a	DT	a
cheaper	JJR	cheap
version	NN	version
and	CC	and
it	PP	it
'll	MD	will
have	VB	have
to	TO	to
be	VB	be
at	IN	at
weekend	NN	weekend
whereas	IN	whereas
I	PP	I
could	MD	could
go	VB	go
in	IN	in
the	DT	the
week	NN	week
as	RB	as
could	MD	could
anyway	RB	anyway
so	RB	so
I	PP	I
'm	VBP	be
all	RB	all
set	VBN	set
looking	VBG	look
at	IN	at
what	WDT	what
there	EX	there
was	VBD	be
on	IN	on
the	DT	the
internet	NN	Internet
he	PP	he
came	VBD	come
after	IN	after
Christmas	NP	Christmas
and	CC	and
it	PP	it
oh	UH	oh
I	PP	I
've	VBP	have
had	VBD	have
a	DT	a
look	NN	look
on	IN	on
the	DT	the
internet	NN	Internet
at	IN	at
the	DT	the
I	NP	I
said	VBD	say
yes	UH	yes
said	VBD	say
perfect	JJ	perfect
he	PP	he
said	VBD	say
there	EX	there
's	VBZ	be
an	DT	an
over-fifties	NNS	over-fifty
erm	NN	erm
morning	NN	morning
three	CD	three
hours	NNS	hour
and	CC	and
it	PP	it
comes	VBZ	come
with	IN	with
a	DT	a
cup	NN	cup
of	IN	of
tea	NN	tea
